image_name,label,num_persons_detected,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
frame1_2350.png,standing,1,606.22,7.5,0.0056,600.68,0.0,0.0024,612.1,0.0,0.0009,576.35,0.0,0.312,641.28,0.0,0.0732,554.06,33.55,0.962,674.75,34.16,0.8966,530.45,138.76,0.9678,701.89,133.05,0.8633,543.23,201.2,0.9031,685.58,170.18,0.7387,587.71,183.05,0.9984,674.7,183.52,0.9972,565.43,330.8,0.997,685.46,329.52,0.995,545.89,463.31,0.9771,700.8,457.18,0.9689
frame1_2400.png,standing,1,687.59,114.61,0.9881,698.89,103.57,0.9392,673.54,103.29,0.9741,710.46,114.06,0.6337,648.86,113.66,0.8964,726.65,193.29,0.9913,625.4,194.8,0.9981,756.07,290.07,0.9524,603.74,296.78,0.9918,771.54,369.5,0.9373,587.28,375.95,0.9835,717.6,374.46,0.9966,650.43,375.55,0.9983,719.77,511.68,0.9918,649.64,513.3,0.9961,718.9,626.66,0.9566,650.08,633.16,0.9739
frame1_2500.png,standing,1,688.3,118.63,0.9888,700.26,106.54,0.9354,673.97,106.12,0.9794,712.07,115.91,0.5933,650.17,114.64,0.9235,727.21,193.2,0.9909,626.19,194.97,0.9985,762.04,286.91,0.934,603.99,299.22,0.9924,791.52,291.28,0.9048,569.77,303.13,0.9814,714.79,376.01,0.9964,648.7,376.8,0.9984,718.29,515.82,0.9872,646.78,513.59,0.9948,717.0,634.47,0.9267,651.39,637.7,0.9595
frame1_2600.png,standing,1,684.85,121.58,0.99,696.84,110.19,0.9355,671.83,109.17,0.9775,710.04,119.64,0.5934,647.22,116.73,0.889,724.43,195.12,0.9952,625.55,193.71,0.9983,761.58,277.13,0.9736,606.13,279.97,0.9938,780.47,216.27,0.9544,595.24,216.66,0.986,714.33,371.88,0.9984,647.83,372.46,0.9991,717.06,510.72,0.9961,646.34,511.05,0.9979,716.43,629.21,0.9738,651.83,633.79,0.9825
frame2_1000.png,standing,1,682.7,119.58,0.9895,694.82,108.68,0.9367,670.28,107.54,0.9764,708.13,119.55,0.6191,647.21,116.4,0.887,723.67,195.7,0.9952,623.21,195.66,0.9982,760.15,280.21,0.9728,598.99,287.6,0.9934,779.81,228.38,0.9523,590.97,230.49,0.9849,713.62,370.19,0.9983,646.49,371.46,0.999,717.46,510.2,0.9958,645.15,510.78,0.9977,716.61,628.55,0.9721,651.86,632.57,0.9812
frame2_1100.png,standing,1,683.77,121.05,0.9901,695.93,110.06,0.9349,671.42,108.67,0.9783,708.85,119.92,0.5982,647.86,116.21,0.8935,721.97,195.99,0.9951,628.12,193.93,0.9984,759.96,282.23,0.9719,607.53,282.17,0.9946,785.11,228.0,0.9521,583.86,223.23,0.987,713.47,370.35,0.9984,650.41,370.47,0.9991,715.46,509.52,0.9963,646.74,509.19,0.9981,716.88,627.69,0.9753,651.67,633.03,0.9843
frame2_1200.png,standing,1,687.88,117.25,0.9902,699.24,106.51,0.9371,674.8,106.47,0.9806,713.03,115.6,0.6306,650.79,115.16,0.9196,731.46,193.32,0.9954,627.86,196.85,0.9988,758.7,290.47,0.9668,605.49,298.78,0.995,781.69,366.87,0.9441,589.01,375.64,0.9869,720.63,376.57,0.9988,653.95,378.62,0.9994,719.26,511.83,0.9961,647.75,510.94,0.9982,716.25,628.2,0.9769,650.74,628.97,0.9862
frame2_1300.png,standing,1,683.95,119.44,0.9883,695.93,108.12,0.939,670.57,106.95,0.9727,707.25,119.53,0.6386,648.24,117.24,0.8866,721.51,198.17,0.9926,624.9,198.95,0.9982,757.77,288.17,0.96,601.15,298.64,0.9921,790.82,263.26,0.9397,583.66,264.69,0.9824,714.06,372.17,0.9969,649.05,373.46,0.9983,718.32,509.77,0.9936,649.58,510.68,0.9968,716.74,627.24,0.9636,652.43,633.19,0.9774
frame2_1400.png,standing,1,681.63,120.27,0.9884,692.83,108.11,0.9365,667.72,108.0,0.9735,703.78,117.4,0.6162,645.13,117.87,0.8849,720.66,194.74,0.992,621.88,196.45,0.9981,755.15,283.0,0.9586,601.35,288.77,0.9925,776.13,231.46,0.9393,598.44,224.87,0.9831,712.91,370.15,0.9965,645.7,372.13,0.9981,717.1,508.54,0.9926,649.19,510.78,0.9963,716.27,628.87,0.9562,653.33,634.9,0.9729
frame2_1500.png,standing,1,683.14,119.99,0.99,694.38,109.51,0.9362,670.39,109.44,0.9814,707.29,117.87,0.6053,646.16,117.36,0.9236,721.56,193.65,0.9938,622.95,196.75,0.9989,755.52,286.36,0.9602,600.8,295.08,0.9958,783.37,359.41,0.9436,582.39,361.85,0.9898,710.18,372.69,0.9987,645.85,375.1,0.9994,716.45,510.21,0.997,646.38,513.31,0.9988,718.73,624.81,0.9842,649.07,633.23,0.9915
